start_ts,end_ts,duration,program
1379364451,1379364466,15,Activity Monitor
1379438236,1379438371,135,Activity Monitor
1379609740,1379609760,20,Activity Monitor
1379961120,1379961136,16,Activity Monitor
1380143567,1380143580,13,Activity Monitor
1381068976,1381069516,540,Activity Monitor
1381325100,1381325835,735,Activity Monitor
1381780861,1381781040,179,Activity Monitor
1381838353,1381838373,20,Activity Monitor
1381951035,1381951051,16,Activity Monitor
1382018970,1382019211,241,Activity Monitor
1382349780,1382350546,766,Activity Monitor
1382352166,1382352180,14,Activity Monitor
1382363326,1382363476,150,Activity Monitor
1382369011,1382370000,989,Activity Monitor
1382374096,1382374500,404,Activity Monitor
1382479291,1382479306,15,Activity Monitor
1382606986,1382607540,554,Activity Monitor
1382721000,1382722380,1380,Activity Monitor
1382795895,1382796515,620,Activity Monitor
1382814155,1382816280,2125,Activity Monitor
1382821800,1382825040,3240,Activity Monitor
1383069949,1383069960,11,Activity Monitor
1383078780,1383078797,17,Activity Monitor
1383249480,1383249600,120,Activity Monitor
1383420494,1383420632,138,Activity Monitor
1383673216,1383673307,91,Activity Monitor
1383753874,1383754036,162,Activity Monitor
1383807932,1383807948,16,Activity Monitor
1383858256,1383858300,44,Activity Monitor
1383946607,1383946620,13,Activity Monitor
1383950035,1383951255,1220,Activity Monitor
1384416935,1384417054,119,Activity Monitor
1384530287,1384530348,61,Activity Monitor
1384531800,1384533616,1816,Activity Monitor
1384539660,1384540292,632,Activity Monitor
1385154916,1385154976,60,Activity Monitor
1385157166,1385158171,1005,Activity Monitor
1385287077,1385287127,50,Activity Monitor
1385817815,1385817840,25,Activity Monitor
1385990018,1385990088,70,Activity Monitor
1386960587,1386960600,13,Activity Monitor
1387052327,1387052340,13,Activity Monitor
1387114456,1387114473,17,Activity Monitor
1387209877,1387209960,83,Activity Monitor
1387301536,1387301552,16,Activity Monitor
1387553940,1387554120,180,Activity Monitor
1387881992,1387882216,224,Activity Monitor
1387972876,1387972904,28,Activity Monitor
1388147836,1388147912,76,Activity Monitor
1388148961,1388148961,0,Activity Monitor
1388155433,1388155490,57,Activity Monitor
1388321340,1388321373,33,Activity Monitor
1388334180,1388334196,16,Activity Monitor
1388339207,1388339252,45,Activity Monitor
1388343360,1388343840,480,Activity Monitor
1388435356,1388435460,104,Activity Monitor
1388529223,1388529240,17,Activity Monitor
1379205391,1379205407,16,Finder
1379236426,1379239036,2610,Finder
1379362500,1379362620,120,Finder
1379444536,1379444716,180,Finder
1379526736,1379527440,704,Finder
1379611501,1379611532,31,Finder
1379706540,1379708011,1471,Finder
1379849175,1379851096,1921,Finder
1379854367,1379855431,1064,Finder
