timestart,occ
0,150
30,150
60,150
90,150
120,150
150,150
180,150
210,150
240,136
270,120
300,120
330,120
360,134
390,150
420,147
450,120
480,120
510,120
540,143
570,150
600,148
630,120
660,120
690,120
720,120
750,120
780,120
810,120
840,120
870,120
900,120
930,105
960,90
990,90
1020,90
1050,60
1080,60
1110,60
1140,60
1170,86
1200,90
1230,61
1260,60
1290,71
1320,90
1350,90
1380,64
1410,60
1440,86
1470,90
1500,90
1530,90
1560,90
1590,90
1620,90
1650,90
1680,90
1710,90
1740,90
1770,90
1800,90
1830,90
1860,90
1890,90
1920,111
1950,145
1980,139
2010,91
2040,90
2070,90
2100,90
2130,90
2160,60
2190,62
2220,90
2250,63
2280,60
2310,60
2340,60
2370,60
2400,60
2430,60
2460,60
2490,60
2520,60
2550,60
2580,60
2610,60
2640,60
2670,60
2700,60
2730,60
2760,60
2790,60
2820,60
2850,60
2880,60
2910,60
2940,60
2970,60
3000,60
3030,60
3060,60
3090,60
3120,60
3150,60
3180,60
3210,60
3240,60
3270,60
3300,60
3330,60
3360,75
3390,90
3420,90
3450,61
3480,60
3510,60
3540,60
3570,60
3600,60
3630,60
3660,60
3690,60
3720,60
3750,60
3780,60
3810,60
3840,60
3870,60
3900,60
3930,60
3960,60
3990,56
4020,30
4050,30
4080,30
4110,30
4140,30
4170,30
4200,60
4230,60
4260,60
4290,30
4320,30
4350,30
4380,30
4410,30
4440,30
4470,30
4500,28
4530,0
4560,0
4590,0
4620,0
4650,0
4680,0
4710,0
4740,0
4770,0
4800,0
4830,0
4860,0
4890,0
4920,0
4950,0
4980,0
5010,0
5040,0
5070,0
5100,0
5130,0
5160,0
5190,0
5220,0
5250,0
5280,0
5310,0
5340,0
5370,0
5400,0
5430,0
5460,0
5490,0
5520,0
5550,0
5580,0
5610,0
5640,0
5670,0
5700,0
5730,0
5760,0
5790,0
5820,0
5850,0
5880,0
5910,0
5940,0
5970,0
6000,0
6030,0
6060,0
6090,0
6120,0
6150,0
6180,0
6210,0
6240,0
6270,0
6300,0
6330,15
6360,30
6390,32
6420,30
6450,30
6480,10
6510,0
6540,0
6570,0
6600,0
6630,0
6660,0
6690,0
6720,0
6750,0
6780,0
6810,0
6840,0
6870,0
6900,20
6930,30
6960,21
6990,0
7020,0
7050,0
7080,0
7110,0
7140,0
7170,0
7200,0
7230,0
7260,0
7290,0
7320,0
7350,0
7380,0
7410,0
7440,0
7470,0
7500,0
7530,0
7560,0
7590,0
7620,0
7650,0
7680,0
7710,15
7740,16
7770,0
7800,0
7830,18
7860,50
7890,55
7920,30
7950,2
7980,0
8010,0
8040,0
8070,0
8100,0
8130,0
8160,0
8190,0
8220,0
8250,0
8280,0
8310,0
8340,0
8370,0
8400,0
8430,9
8460,58
8490,41
8520,12
8550,0
8580,0
8610,0
8640,0
8670,0
8700,0
8730,8
8760,30
8790,30
8820,30
8850,6
8880,0
8910,0
8940,0
8970,0
9000,0
9030,0
9060,0
9090,0
9120,0
9150,0
9180,0
9210,0
9240,0
9270,0
9300,0
9330,0
9360,0
9390,0
9420,0
9450,0
9480,0
9510,0
9540,0
9570,0
9600,0
9630,0
9660,0
9690,0
9720,0
9750,0
9780,0
9810,0
9840,0
9870,0
9900,20
9930,30
9960,23
9990,0
10020,0
10050,0
10080,0
