x,y
375,566
370,566
365,567
362,567
360,567
358,567
357,567
355,567
354,568
353,564
353,555
358,535
364,525
373,511
384,502
394,495
397,492
404,486
411,481
418,474
426,469
435,462
446,455
457,447
473,438
482,432
497,424
510,417
517,415
531,410
550,404
562,400
576,393
588,389
601,386
610,383
617,382
626,380
629,378
635,373
638,363
641,351
647,318
654,278
655,261
657,243
657,231
651,228
639,228
629,228
617,231
612,232
605,234
601,235
596,239
595,242
595,246
595,251
598,258
604,266
610,272
618,278
625,284
628,287
634,294
638,301
643,310
645,322
647,330
647,342
647,347
647,351
647,353
647,352
647,351
646,346
643,340
639,332
635,325
627,315
620,309
617,305
613,301
610,299
608,299
608,298
610,298
613,298
619,298
624,298
633,298
641,298
648,300
655,307
662,315
665,322
666,331
665,340
657,346
646,350
633,352
622,352
612,352
598,340
591,326
586,317
582,302
581,292
581,274
583,261
588,249
597,239
610,229
625,221
642,217
665,217
684,217
704,226
725,241
745,261
761,281
769,296
775,319
776,337
775,359
764,375
747,389
726,399
684,404
643,401
576,367
555,351
532,334
520,322
509,308
506,288
506,264
506,244
509,222
518,202
531,190
547,179
563,173
589,165
615,165
642,168
663,181
686,199
708,223
725,248
738,275
746,301
749,323
750,350
749,377
738,393
722,403
708,407
698,407
680,407
663,394
651,374
645,363
639,349
635,332
635,324
635,316
638,300
643,290
646,285
421,380
343,399
296,407
254,412
219,413
177,413
142,411
122,405
94,390
80,375
71,358
65,339
65,330
65,322
65,318
64,316
63,316
63,316
62,317
60,341
60,376
60,421
60,449
63,464
65,475
66,478
67,479
68,477
69,473
71,464
71,453
71,443
71,431
70,420
65,405
61,395
53,382
49,376
44,371
42,369
38,367
33,367
28,367
20,370
14,376
10,379
8,381
7,383
7,384
7,387
8,395
12,402
15,408
17,412
18,414
19,415
20,416
20,417
19,418
19,417
18,416
18,415
17,413
17,401
20,379
56,333
125,286
239,244
407,219
669,215
818,222
961,265
1022,303
1058,341
1078,400
1057,457
993,498
837,523
656,499
395,368
224,132
206,0
275,0
411,0
632,23
757,84
901,189
953,256
986,345
989,418
949,510
876,563
761,585
573,561
529,532
479,472
474,443
493,368
657,278
776,279
890,333
937,382
937,382
971,449
975,507
955,560
875,604
536,478
519,449
481,324
481,324
588,228
800,273
877,354
877,354
894,414
873,476
829,508
718,531
485,390
419,237
433,111
433,111
490,50
530,31
683,8
731,46
731,46
757,81
783,137
791,180
783,215
753,234
685,237
617,211
567,152
537,80
535,4
565,0
607,0
678,0
711,21
735,65
743,116
744,163
734,218
714,239
690,253
632,246
595,200
572,149
560,73
563,43
578,22
594,6
613,0
623,8
633,33
641,85
641,119
636,141
624,160
607,170
580,167
543,105
530,63
521,3
525,0
546,0
586,0
633,13
664,39
701,80
716,116
718,154
710,199
676,230
622,250
543,248
518,238
470,209
458,176
470,138
512,105
575,85
695,83
762,106
810,135
849,172
857,205
834,252
797,274
726,292
609,287
552,252
522,220
497,156
497,108
513,83
560,56
645,50
732,82
779,113
811,147
834,188
838,240
832,276
810,294
765,309
707,302
637,234
582,127
567,40
567,0
583,0
606,0
640,0
693,40
735,92
779,164
796,206
806,255
807,295
788,328
748,345
667,348
585,297
559,260
525,200
511,141
514,102
530,74
554,55
599,46
658,64
707,110
752,167
774,201
785,230
794,271
791,294
764,313
723,316
629,270
599,224
566,150
561,85
570,40
609,17
704,12
799,54
863,100
903,135
923,157
930,170
936,186
936,193
917,197
886,193
855,197
807,211
751,232
589,298
428,362
310,394
162,406
104,384
76,255
106,143
188,14
261,0
388,0
481,12
530,46
577,96
604,149
614,188
621,242
622,295
622,325
621,353
613,370
602,376
571,363
537,319
519,278
499,195
508,98
558,0
608,0
644,0
672,0
689,13
701,38
717,88
726,144
735,213
741,272
747,373
747,417
747,445
747,458
743,465
735,467
717,460
669,406
632,348
619,324
608,289
606,269
606,258
612,251
623,244
639,240
660,238
685,238
707,243
723,255
735,270
745,289
751,303
753,314
756,329
756,337
752,341
743,343
721,343
690,328
647,297
601,262
574,243
552,229
531,217
517,208
504,197
501,192
497,182
497,177
498,173
507,169
518,168
546,168
575,182
622,219
691,295
711,321
732,357
740,379
745,400
746,410
744,417
729,418
702,413
671,394
649,378
632,368
615,358
609,353
601,349
598,345
593,341
591,337
590,332
590,330
590,328
590,327
590,326
591,325
594,319
599,311
608,302
616,293
623,287
631,283
640,279
649,278
668,278
690,279
714,290
736,312
751,338
759,354
765,374
768,392
769,408
769,422
762,430
746,437
716,438
678,435
634,411
599,382
594,375
