date,mib
1379195700,813
1379275800,427
1379363700,278
1379448300,313
1379534400,396
1379616900,894
1379710200,212
1379799900,321
1379880600,533
1379966400,296
1380053735,430
1380140100,734
1380225300,1305
1380318900,680
1380405000,630
1380487500,464
1380571200,130
1380658217,105
1380748500,898
1380826800,290
1380918300,1468
1381007400,1113
1381088100,903
1381176300,324
1381263300,660
1381347000,562
1381434900,381
1381521000,578
1381612500,307
1381694100,93
1381781100,756
1381868400,509
1381955100,331
1382040900,425
1382125500,1052
1382218800,854
1382297400,362
1382388600,273
1382478901,778
1382559600,2726
1382602500,26
1382733001,3338
1382820301,2693
1382910300,341
1382996701,124
1383083100,260
1383169200,180
1383257100,612
1383346201,390
1383429901,307
1383512720,207
1383599427,496
1383684000,329
1383772500,628
1383861000,404
1383951300,183
1384036801,572
1384121400,114
1384202400,75
1384290600,469
1384376400,427
1384467300,336
1384551900,261
1384638300,133
1384722600,188
1384809000,108
1384895419,339
1384981800,386
1385057100,87
1385155200,683
1385243700,382
1385328351,1012
1385414700,71
1385501701,85
1385588101,210
1385674200,228
1385760114,94
1385833800,43
1385898000,50
1386018000,444
1386105000,312
1386184500,181
1386278100,154
1386335101,124
1386535500,3
1386624901,285
1386704700,130
1386794422,475
1386880800,243
1386974101,308
1387058700,899
1387141200,1041
1387226400,59
1387312800,101
1387404924,247
1387491300,811
1387575900,893
1387663500,278
1387745701,540
1387837200,207
1387924500,200
1388009701,403
1388098200,143
1388182200,904
1388268000,359
1388354700,588
1388444100,156
1388530341,168
